FEATURES_TXT_BEGIN_0 0 100 14 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 LexicalReordering0_4 LexicalReordering0_5 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-5.2521 0 0 -3.85743 0 0 0 -72.1358 -18 16 -30.5808 -43.7039 -6.97502 -10.4149 
-5.20183 0 0 -4.05302 0 0 0 -58.08 -18 16 -35.8588 -49.387 -10.8489 -14.8738 
-5.20183 0 0 -3.85235 0 0 0 -67.4278 -18 16 -30.8597 -44.2844 -9.05712 -12.7943 
-5.10855 0 0 -10.2505 0 0 0 -74.3536 -18 16 -29.7413 -44.2095 -9.21215 -12.9791 
-5.2521 0 0 -4.0581 0 0 0 -65.2084 -18 16 -35.58 -48.8065 -8.76678 -12.4943 
-5.45504 0 0 -4.05034 0 0 0 -65.2917 -18 17 -35.7594 -48.8065 -9.24327 -12.4943 
-5.40477 0 0 -4.24594 0 0 0 -51.2359 -18 17 -41.0374 -54.4895 -13.1171 -16.9532 
-5.40477 0 0 -4.04527 0 0 0 -60.5837 -18 17 -36.0382 -49.387 -11.3254 -14.8738 
-4.992 0 0 -4.35293 0 0 0 -75.639 -20 16 -28.0653 -43.7596 -8.01865 -14.0172 
-5.31148 0 0 -10.4434 0 0 0 -67.5096 -18 17 -34.9198 -49.3121 -11.4804 -15.0586 
-4.94173 0 0 -4.34785 0 0 0 -70.931 -20 16 -28.3441 -44.3401 -10.1007 -16.3967 
-5.45504 0 0 -4.25101 0 0 0 -58.3643 -18 17 -40.7585 -53.9091 -11.035 -14.5738 
-5.58858 0 0 -4.39457 0 0 0 -72.7125 -18 16 -31.343 -43.9916 -8.07363 -11.108 
-4.84845 0 0 -10.746 0 0 0 -77.8569 -20 16 -27.2257 -44.2653 -10.2558 -16.5815 
